name,sku,price_net,stock,category,description,image_path,active
MODULO 4G A7670C,FT232RL-1-1,20000,3,inicio,"<p>ARDUINO, ADAPTADOR, MODULO, USB, CONVERTIDOR, TTL, FT232, ARDUINO CONVERTIDOR DE ADAPTADOR</p>",products/FT232RL-1-1.jpg,True
RELE SOLIDO 4 CANALES,EST2RELE4-1,7000,4,electronica,"<p>MODULO, RELE, SOLIDO, 2 CANAL</p>",products/EST2RELE4-1.jpg,True
SET 4G A7670C,FT232RL-1-1-2,25000,0,inicio,"<p>ARDUINO, ADAPTADOR, MODULO, USB, CONVERTIDOR, TTL, FT232, ARDUINO CONVERTIDOR DE ADAPTADOR</p>",products/FT232RL-1-1-2.jpg,True
CONECTOR CAJA SPEAKER PLUG TERMINAL,,4000,24,inicio,"<p>CONECTOR, CHASIS, SPEAKON, speaker, CONECTOR SPEAKON</p>",products/.jpg,True
CONECTOR SPEAKER AUDIO CABLE 4 PIN AZUL,SVP563R-1,2500,37,inicio,"<p>CONECTOR, REDONDO, PIN, 4, speaker</p>",products/SVP563R-1.jpg,True
CONECTOR SPEAKER AUDIO CABLE 4 PIN ROJO,SVP563R-1-1,2500,33,inicio,"<p>CONECTOR, REDONDO, PIN, 4, speaker</p>",products/SVP563R-1-1.jpg,True
CONECTOR SPEAKON HEMBRA 3PIN,,2500,10,inicio,"<p>CONECTOR, CHASIS, SPEAKON, speaker, CONECTOR SPEAKON</p>",products/.jpg,True
CONECTOR SPEAKON HEMBRA 3PIN,,2500,10,inicio,"<p>CONECTOR, CHASIS, SPEAKON, speaker, CONECTOR SPEAKON</p>",products/.jpg,True
PORTA PILA CR2032 (VERTICAL),18650-PCB-1-1,500,18,electronica,"<p>PORTA, PCB, 18650, PILA, pilas, simple, portapila</p>",products/18650-PCB-1-1.jpg,True
PORTA PILA CR2032 (VERTICAL),18650-PCB-1-1,500,18,electronica,"<p>PORTA, PCB, 18650, PILA, pilas, simple, portapila</p>",products/18650-PCB-1-1.jpg,True
PORTA PILA CR2032 (TRADICIONAL),18650-PCB-1-1-1,600,23,electronica,"<p>PORTA, PCB, 18650, PILA, pilas, simple, portapila</p>",products/18650-PCB-1-1-1.jpg,True
RESISTENCIA CERAMICA 20W 220Ω,E1A-20W220,1300,55,otras,,products/E1A-20W220.jpg,True
SOLMAFORO UV-15040-RGB-SST-E4G,UV-15040-RGB-SST-E4G,0,0,desarrollos,,products/UV-15040-RGB-SST-E4G.jpg,True
